query,rel,qid,docid
How I Met Your Mother,2,2711314,2711314
How I Met Your Mother,1,2711314,14084799
How I Met Your Mother,1,2711314,26701520
How I Met Your Mother,1,2711314,26702204
How I Met Your Mother,1,2711314,26702552
How I Met Your Mother,1,2711314,31526507
How I Met Your Mother,1,2711314,31526510
How I Met Your Mother,1,2711314,37998428
Collin County Texas,2,91627,91627
Collin County Texas,1,91627,135698
Collin County Texas,1,91627,151136
Collin County Texas,1,91627,151137
Collin County Texas,1,91627,151141
Collin County Texas,1,91627,151146
Yiddish,2,34272,34272
Yiddish,1,34272,172824
Yiddish,1,34272,405453
Yiddish,1,34272,544978
Yiddish,1,34272,698656
Yiddish,1,34272,1199859
Yiddish,1,34272,1290823
Yiddish,1,34272,1648940
London Borough of Waltham Forest,2,94458,94458
London Borough of Waltham Forest,1,94458,93927
London Borough of Waltham Forest,1,94458,94157
London Borough of Waltham Forest,1,94458,94358
London Borough of Waltham Forest,1,94458,240225
London Borough of Waltham Forest,1,94458,1702151
Monterey County California,2,82025,82025
Monterey County California,1,82025,40444
Monterey County California,1,82025,107769
Monterey County California,1,82025,107780
Monterey County California,1,82025,107783
Monterey County California,1,82025,107788
Monterey County California,1,82025,487147
Monterey County California,1,82025,1204821
Kowloon Peninsula,2,269033,269033
Kowloon Peninsula,1,269033,198761
Kowloon Peninsula,1,269033,230930
Kowloon Peninsula,1,269033,268904
Kowloon Peninsula,1,269033,268906
Kowloon Peninsula,1,269033,321846
Kowloon Peninsula,1,269033,340634
Provinces of Indonesia,2,170641,170641
Provinces of Indonesia,1,170641,4147
Provinces of Indonesia,1,170641,82290
Provinces of Indonesia,1,170641,164149
Provinces of Indonesia,1,170641,170625
Provinces of Indonesia,1,170641,204226
Provinces of Indonesia,1,170641,212635
Provinces of Indonesia,1,170641,262699
Provinces of Indonesia,1,170641,314356
Provinces of Indonesia,1,170641,320443
Provinces of Indonesia,1,170641,355454
Provinces of Indonesia,1,170641,360758
Provinces of Indonesia,1,170641,389458
